"Call Back","Обратный звонок"
"Call Backs","Обратные звонки"
"Enable Admin Email","Отправить email администратору"
"Send Emails To","Email администратора"
"Email Sender","Адрес отправителя"
"Email Template","Шаблон email"
"Config Call Back","Конфигурация обратного звонка"
"Manage Call Back","Обратные звонки"
"Thank you! Your request is accepted, and in the near future our experts will call you.","Спасибо! Ваш заказ принят и в ближайшее время наши специалисты перезвонят Вам."
"An error occurred while saving the request.","Произошла техническая ошибка. Попробуйте еще раз."
"Request a Callback","Заказать обратный звонок"
"First Name","Имя"
"Last Name","Фамилия"
"Phone","Телефон"
"Send","Отправить"
"New Call Back","Неотвеченные запросы"
"All Call Back","Все запросы"
"Customer Information","Информация о клиенте"
"Please submit the form and we will call you back.","Закажите обратный звонок и наши специалисты перезвонят Вам."
